subject,activity,TimeBodyAccelerometerMeanAxisX,TimeBodyAccelerometerMeanAxisY,TimeBodyAccelerometerMeanAxisZ,TimeBodyAccelerometerStandardDeviationAxisX,TimeBodyAccelerometerStandardDeviationAxisY,TimeBodyAccelerometerStandardDeviationAxisZ,TimeGravityAccelerometerMeanAxisX,TimeGravityAccelerometerMeanAxisY,TimeGravityAccelerometerMeanAxisZ,TimeGravityAccelerometerStandardDeviationAxisX,TimeGravityAccelerometerStandardDeviationAxisY,TimeGravityAccelerometerStandardDeviationAxisZ,TimeBodyAccelerometerJerkMeanAxisX,TimeBodyAccelerometerJerkMeanAxisY,TimeBodyAccelerometerJerkMeanAxisZ,TimeBodyAccelerometerJerkStandardDeviationAxisX,TimeBodyAccelerometerJerkStandardDeviationAxisY,TimeBodyAccelerometerJerkStandardDeviationAxisZ,TimeBodyGyroscopeMeanAxisX,TimeBodyGyroscopeMeanAxisY,TimeBodyGyroscopeMeanAxisZ,TimeBodyGyroscopeStandardDeviationAxisX,TimeBodyGyroscopeStandardDeviationAxisY,TimeBodyGyroscopeStandardDeviationAxisZ,TimeBodyGyroscopeJerkMeanAxisX,TimeBodyGyroscopeJerkMeanAxisY,TimeBodyGyroscopeJerkMeanAxisZ,TimeBodyGyroscopeJerkStandardDeviationAxisX,TimeBodyGyroscopeJerkStandardDeviationAxisY,TimeBodyGyroscopeJerkStandardDeviationAxisZ,TimeBodyAccelerometerMagnitudeMean,TimeBodyAccelerometerMagnitudeStandardDeviation,TimeGravityAccelerometerMagnitudeMean,TimeGravityAccelerometerMagnitudeStandardDeviation,TimeBodyAccelerometerJerkMagnitudeMean,TimeBodyAccelerometerJerkMagnitudeStandardDeviation,TimeBodyGyroscopeMagnitudeMean,TimeBodyGyroscopeMagnitudeStandardDeviation,TimeBodyGyroscopeJerkMagnitudeMean,TimeBodyGyroscopeJerkMagnitudeStandardDeviation,FrequencyBodyAccelerometerMeanAxisX,FrequencyBodyAccelerometerMeanAxisY,FrequencyBodyAccelerometerMeanAxisZ,FrequencyBodyAccelerometerStandardDeviationAxisX,FrequencyBodyAccelerometerStandardDeviationAxisY,FrequencyBodyAccelerometerStandardDeviationAxisZ,FrequencyBodyAccelerometerJerkMeanAxisX,FrequencyBodyAccelerometerJerkMeanAxisY,FrequencyBodyAccelerometerJerkMeanAxisZ,FrequencyBodyAccelerometerJerkStandardDeviationAxisX,FrequencyBodyAccelerometerJerkStandardDeviationAxisY,FrequencyBodyAccelerometerJerkStandardDeviationAxisZ,FrequencyBodyGyroscopeMeanAxisX,FrequencyBodyGyroscopeMeanAxisY,FrequencyBodyGyroscopeMeanAxisZ,FrequencyBodyGyroscopeStandardDeviationAxisX,FrequencyBodyGyroscopeStandardDeviationAxisY,FrequencyBodyGyroscopeStandardDeviationAxisZ,FrequencyBodyAccelerometerMagnitudeMean,FrequencyBodyAccelerometerMagnitudeStandardDeviation,FrequencyBodyAccelerometerJerkMagnitudeMean,FrequencyBodyAccelerometerJerkMagnitudeStandardDeviation,FrequencyBodyGyroscopeMagnitudeMean,FrequencyBodyGyroscopeMagnitudeStandardDeviation,FrequencyBodyGyroscopeJerkMagnitudeMean,FrequencyBodyGyroscopeJerkMagnitudeStandardDeviation
1,WALKING,0.2773307587,-0.0173838185,-0.1111481035,-0.2837402588,0.1144613367,-0.2600279022,0.9352232015,-0.2821650213,-0.0681028640,-0.9766096425,-0.9713059615,-0.9477172261,0.0740416333,0.0282721096,-0.0041684062,-0.1136156024,0.0670025008,-0.5026997885,-0.0418309635,-0.0695300462,0.0849448173,-0.4735354859,-0.0546077687,-0.3442666295,-0.0899975424,-0.0398428709,-0.0461309295,-0.2074218548,-0.3044685106,-0.4042554526,-0.1369711766,-0.2196886456,-0.1369711766,-0.2196886456,-0.1414288090,-0.0744717501,-0.1609795525,-0.1869783645,-0.2987036791,-0.3253248789,-0.2027943063,0.0897127264,-0.3315601178,-0.3191347196,0.0560400068,-0.2796867515,-0.1705469645,-0.0352255241,-0.4689992246,-0.1335866063,0.1067398571,-0.5347134404,-0.3390321971,-0.1030594164,-0.2559409403,-0.5166919387,-0.0335081598,-0.4365622275,-0.1286234506,-0.3980325868,-0.0571194000,-0.1034924030,-0.1992525690,-0.3210179539,-0.3193085938,-0.3816019118
1,WALKING_UPSTAIRS,0.2554616896,-0.0239531493,-0.0973020021,-0.3547080251,-0.0023202650,-0.0194792388,0.8933510975,-0.3621533643,-0.0754029398,-0.9563670279,-0.9528492332,-0.9123794104,0.1013727299,0.0194863076,-0.0455625449,-0.4468438877,-0.3782744260,-0.7065935309,0.0505493798,-0.1661700151,0.0583595464,-0.5448711045,0.0041051838,-0.5071686749,-0.1222327680,-0.0421485885,-0.0407125528,-0.6147865085,-0.6016966562,-0.6063320023,-0.1299276307,-0.3249709292,-0.1299276307,-0.3249709292,-0.4665034462,-0.4789916221,-0.1267355900,-0.1486193181,-0.5948828651,-0.6485530443,-0.4043217842,-0.1909767208,-0.4333497021,-0.3374281887,0.0217695107,0.0859565544,-0.4798752457,-0.4134445875,-0.6854743540,-0.4619070258,-0.3817770653,-0.7260402008,-0.4926116679,-0.3194746091,-0.4535972130,-0.5658924908,0.1515389056,-0.5717078400,-0.3523959447,-0.4162601015,-0.4426521625,-0.5330598538,-0.3259614574,-0.1829855183,-0.6346650821,-0.6939305215
1,WALKING_DOWNSTAIRS,0.2891883204,-0.0099185046,-0.1075661909,0.0300353383,-0.0319359434,-0.2304342132,0.9318744190,-0.2666103390,-0.0621199586,-0.9505598116,-0.9370186590,-0.8959396951,0.0541553165,0.0296504490,-0.0109719730,-0.0122838605,-0.1016013906,-0.3457350323,-0.0350781903,-0.0909371290,0.0900850142,-0.4580305429,-0.1263491949,-0.1247024542,-0.0739592036,-0.0439902783,-0.0270461061,-0.4870273422,-0.2388248275,-0.2687614802,0.0271882914,0.0198843506,0.0271882914,0.0198843506,-0.0894474808,-0.0257877197,-0.0757412544,-0.2257243681,-0.2954638433,-0.3065106455,0.0382291832,0.0015499078,-0.2255744717,0.0243308391,-0.1129637400,-0.2979278947,-0.0276638676,-0.1286671576,-0.2883347357,-0.0863278966,-0.1345800089,-0.4017214643,-0.3524496314,-0.0557022525,-0.0318694272,-0.4954224861,-0.1814147287,-0.2384435653,0.0965845343,-0.1865303011,0.0262184949,-0.1040522607,-0.1857202857,-0.3983503901,-0.2819633592,-0.3919198766
1,SITTING,0.2612375654,-0.0013082877,-0.1045441823,-0.9772290083,-0.9226186419,-0.9395862911,0.8315099334,0.2044115927,0.3320437028,-0.9684571457,-0.9355170560,-0.9490409332,0.0774825200,-0.0006191028,-0.0033677924,-0.9864307113,-0.9813719653,-0.9879108045,-0.0453500565,-0.0919241549,0.0629313812,-0.9772112832,-0.9664738953,-0.9414259209,-0.0936793807,-0.0402118124,-0.0467026270,-0.9917315921,-0.9895180685,-0.9879358064,-0.9485367862,-0.9270784187,-0.9485367862,-0.9270784187,-0.9873641955,-0.9841200240,-0.9308924900,-0.9345318404,-0.9919763413,-0.9883087285,-0.9796412387,-0.9440845504,-0.9591848891,-0.9764123132,-0.9172750064,-0.9344695581,-0.9865970226,-0.9815794670,-0.9860530923,-0.9874929945,-0.9825139096,-0.9883391849,-0.9761614640,-0.9758385853,-0.9513155445,-0.9779042270,-0.9623450426,-0.9439178411,-0.9477829226,-0.9284448017,-0.9852621268,-0.9816061774,-0.9584355894,-0.9321983749,-0.9897975472,-0.9870496172
1,STANDING,0.2789176291,-0.0161375901,-0.1106018177,-0.9957599015,-0.9731900564,-0.9797758770,0.9429520004,-0.2729838323,0.0134905823,-0.9937629851,-0.9812259579,-0.9763240636,0.0753766542,0.0079757309,-0.0036852495,-0.9946045423,-0.9856487325,-0.9922511774,-0.0239877348,-0.0593972210,0.0748007510,-0.9871919466,-0.9877344400,-0.9806456270,-0.0996092129,-0.0440627878,-0.0489505467,-0.9929451070,-0.9951379174,-0.9921084672,-0.9842782074,-0.9819429289,-0.9842782074,-0.9819429289,-0.9923677906,-0.9930962094,-0.9764937928,-0.9786900287,-0.9949667906,-0.9947332387,-0.9952499326,-0.9770708477,-0.9852970987,-0.9960283451,-0.9722931021,-0.9779372596,-0.9946307974,-0.9854187045,-0.9907521660,-0.9950737592,-0.9870182268,-0.9923498181,-0.9863867860,-0.9889844558,-0.9807731228,-0.9874971287,-0.9871077277,-0.9823453300,-0.9853563611,-0.9823138047,-0.9925424775,-0.9925360034,-0.9846176234,-0.9784660721,-0.9948153770,-0.9946711232
1,LAYING,0.2215982439,-0.0405139534,-0.1132035536,-0.9280564692,-0.8368274056,-0.8260614016,-0.2488817983,0.7055497735,0.4458177198,-0.8968300184,-0.9077200068,-0.8523662902,0.0810865342,0.0038382040,0.0108342364,-0.9584821120,-0.9241492736,-0.9548551108,-0.0165530940,-0.0644861241,0.1486894363,-0.8735438678,-0.9510904402,-0.9082846626,-0.1072709492,-0.0415172869,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901596,-0.8419291525,-0.7951448639,-0.8419291525,-0.7951448639,-0.9543962646,-0.9282456284,-0.8747595480,-0.8190101698,-0.9634610300,-0.9358409828,-0.9390990524,-0.8670652052,-0.8826668762,-0.9244374346,-0.8336255561,-0.8128915594,-0.9570738838,-0.9224626098,-0.9480609042,-0.9641607086,-0.9322178704,-0.9605869872,-0.8502491746,-0.9521914948,-0.9093027210,-0.8822964508,-0.9512320494,-0.9165825082,-0.8617676481,-0.7983009404,-0.9333003608,-0.9218039756,-0.8621901854,-0.8243194397,-0.9423669466,-0.9326606676
2,WALKING,0.2764265864,-0.0185949199,-0.1055003580,-0.4236428385,-0.0780912533,-0.4252575249,0.9130173334,-0.3466070900,0.0847270871,-0.9726932014,-0.9721168797,-0.9720728476,0.0618080696,0.0182492679,0.0078953371,-0.2775304626,-0.0166022363,-0.5860904190,-0.0530258157,-0.0482382317,0.0828336633,-0.5615502558,-0.5384536678,-0.4810855351,-0.0818833429,-0.0538299449,-0.0514939157,-0.3895498315,-0.6341404361,-0.4354926773,-0.2904075937,-0.4225441693,-0.2904075937,-0.4225441693,-0.2814241539,-0.1641509851,-0.4465490929,-0.5530199163,-0.5479119503,-0.5577981514,-0.3460481610,-0.0219048103,-0.4538063698,-0.4576513837,-0.1692196862,-0.4552221464,-0.3046153229,-0.0787640837,-0.5549567097,-0.3143130634,-0.0153329520,-0.6158981885,-0.4297135361,-0.5547721122,-0.3966599075,-0.6040530192,-0.5330469525,-0.5598566351,-0.3242894279,-0.5771052117,-0.1690643528,-0.1640919694,-0.5307048147,-0.6517928397,-0.5832492934,-0.5581045547
2,WALKING_UPSTAIRS,0.2471647904,-0.0214121132,-0.1525138995,-0.3043764065,0.1080272799,-0.1121210212,0.7907174185,-0.4162148904,-0.1958882389,-0.9344077398,-0.9237674538,-0.8780040569,0.0744507840,-0.0097098551,0.0194814393,-0.2761218865,-0.1856489542,-0.5737463525,-0.0576912635,-0.0320883097,0.0688374022,-0.4392530590,-0.4662983367,-0.1639957917,-0.0828858001,-0.0424053708,-0.0445157482,-0.4648543631,-0.6454913377,-0.4675959610,-0.1073226795,-0.2059770453,-0.1073226795,-0.2059770453,-0.3212689110,-0.2173893946,-0.2197134730,-0.3775321676,-0.5728164385,-0.5972917192,-0.2667209333,0.0099244588,-0.2810019862,-0.3205824144,0.0848802791,-0.0945449764,-0.2586394397,-0.1878421317,-0.5227280633,-0.3654154415,-0.2435541467,-0.6250909815,-0.3316435775,-0.4880861240,-0.2486011220,-0.4763588456,-0.4597584890,-0.2180724715,-0.1453185392,-0.3667282437,-0.1895111369,-0.2604238390,-0.4506121848,-0.4386204019,-0.6007984963,-0.6218202029
2,WALKING_DOWNSTAIRS,0.2776153481,-0.0226614158,-0.1168129424,0.0463666814,0.2628817890,-0.1028379081,0.8618313455,-0.3257801006,-0.0438890163,-0.9403617596,-0.9400685255,-0.9314383132,0.1100406156,-0.0032795908,-0.0209351678,0.1472491432,0.1268280146,-0.3401220232,-0.1159473529,-0.0048232923,0.0971738089,-0.3207892300,-0.4157391449,-0.2794183880,-0.0581038499,-0.0421470258,-0.0710229817,-0.2439405926,-0.4693967011,-0.2182663186,0.0899511205,0.2155863349,0.0899511205,0.2155863349,0.0056551634,0.2296171851,-0.1621885869,-0.2748441105,-0.4108726715,-0.3431878754,0.1128411603,0.2783450418,-0.1312907720,0.0161046199,0.1719739730,-0.1620328943,0.1381206811,0.0962091608,-0.2714987211,0.0499590625,0.0808333491,-0.4082274232,-0.1457759704,-0.3619138240,-0.0874944736,-0.3794366744,-0.4587327474,-0.4229876651,0.2934248266,-0.0214787882,0.2222474096,0.2274807325,-0.3208385436,-0.3725767554,-0.3801753065,-0.3436989854
2,SITTING,0.2770873517,-0.0156879937,-0.1092182725,-0.9868222796,-0.9507044991,-0.9598281717,0.9404772730,-0.1056300245,0.1987267688,-0.9799887609,-0.9567502730,-0.9544158730,0.0722564387,0.0116954511,0.0076054693,-0.9880558541,-0.9779839554,-0.9875182117,-0.0454706620,-0.0599286797,0.0412277462,-0.9857420278,-0.9789195270,-0.9598037087,-0.0936328413,-0.0415602029,-0.0435850966,-0.9897090230,-0.9908896148,-0.9855423257,-0.9678936239,-0.9530814441,-0.9678936239,-0.9530814441,-0.9867747130,-0.9844758680,-0.9460350872,-0.9613136241,-0.9910814939,-0.9895949196,-0.9858038407,-0.9573434985,-0.9701621726,-0.9873620900,-0.9500737541,-0.9568628641,-0.9878487937,-0.9771397028,-0.9851290502,-0.9894591074,-0.9808042285,-0.9885708041,-0.9826213896,-0.9821009237,-0.9598148224,-0.9868085015,-0.9773561887,-0.9635226598,-0.9612737483,-0.9555756022,-0.9838746989,-0.9841241859,-0.9718405961,-0.9613857452,-0.9898619509,-0.9896329089
